,Course Code,Course Title,HEI,R1 Points 2021,R2 Points 2021,R1 Points 2020,R2 Points 2020,R1 Points 2019
269,CK720,Mental Health Nursing,University College Cork (NUI),455,452,,,
270,CK730,Intellectual Disability Nursing,University College Cork (NUI),431,,,,
271,CK740,Midwifery,University College Cork (NUI),509,,,,
272,CK791,Medicine  - Graduate Entry (GAMSAT required),University College Cork (NUI),60,60,,,
273,AC120,International Business,American College,294,294,,,
274,AC137,Liberal Arts,American College,271,270,,,
275,CT125,Computing and IT,CCT College Dublin,242,242,,,
276,CT325,Business,CCT College Dublin,253,253,,,
277,CM001,Education - Primary Teaching,Marino Institute of Education,508,,,,
278,CM002,Education - Primary Teaching - Gaeltacht Applicants,Marino Institute of Education,462,,,,
279,CM003,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge,Marino Institute of Education,513,,,,
280,CM004,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge (daltaí Gaeltachta),Marino Institute of Education,480,,,,
281,CM010,Education Studies,Marino Institute of Education,382,327,,,
282,CM020,Early Childhood Education,Marino Institute of Education,317,,,,
283,DS602,Higher Certificate in Science in Computing Level 6 (2 years),Dorset College,120,,,,
284,DS701,Bachelor of Business Level 7 (3 years),Dorset College,136,,,,
285,DS702,BSc in Computing Level 7 (3 years),Dorset College,136,,,,
286,DB500,Computing,Dublin Business School,234,234,,,
287,DB501,Computing (Cloud Computing),Dublin Business School,,178,,,
288,DB502,Computing (Data Analytics and Big Data),Dublin Business School,267,233,,,
289,DB503,Computing (Software Development),Dublin Business School,,,,,
290,DB504,Computing (Web and Mobile Technology),Dublin Business School,,,,,
291,DB510,Audio Production and Music Project Management,Dublin Business School,217,217,,,
292,DB512,Business Studies,Dublin Business School,243,210,,,
293,DB514,Business Studies (Law),Dublin Business School,239,225,,,
294,DB515,Business Studies (Human Resource Management),Dublin Business School,242,217,,,
295,DB517,Marketing (Event Management),Dublin Business School,233,225,,,
296,DB518,Marketing (Digital Media),Dublin Business School,307,209,,,
297,DB521,Accounting and Finance,Dublin Business School,243,228,,,
298,DB524,Business (Information Systems),Dublin Business School,247,239,,,
299,DB525,Marketing (Digital Media and Cloud Computing),Dublin Business School,288,288,,,
300,DB526,Business (Cloud Computing),Dublin Business School,244,244,,,
301,DB527,Applied Social Care,Dublin Business School,254,219,,,
302,DB528,Applied Social Care,Dublin Business School,146,104,,,
303,DB531,Marketing,Dublin Business School,288,176,,,
304,DB534,Sound Engineering and Music Production,Dublin Business School,139,139,,,
305,DB562,Psychology,Dublin Business School,244,233,,,
306,DB563,Arts,Dublin Business School,143,143,,,
307,DB566,Social Science,Dublin Business School,262,228,,,
308,DB567,Film and Creative Media,Dublin Business School,245,213,,,
309,DB568,Law,Dublin Business School,254,228,,,
310,DB569,Business (Psychology),Dublin Business School,240,240,,,
311,DB571,Business Studies,Dublin Business School,113,113,,,
312,DB572,Business (Accounting),Dublin Business School,141,141,,,
313,DB573,Business (Marketing),Dublin Business School,169,137,,,
314,DB574,Business (Information Technology),Dublin Business School,173,173,,,
315,DB576,Film and Creative Media,Dublin Business School,101,101,,,
316,DC001,Education - Early Childhood Education,Dublin City University,445,,,,
317,DC002,Education - Primary Teaching,Dublin City University,518,,,,
318,DC003,Education - Primary Teaching - Gaeltacht Applicants,Dublin City University,489,,,,
319,DC004,Education - Primary Teaching (Church of Ireland Centre formerly CICE),Dublin City University,451,,,,
320,DC009,Arts (Joint Honours) - Humanities,Dublin City University,356,,,,
321,DC010,Post Primary Teacher Education - Religious Education and English,Dublin City University,384,,,,
322,DC011,Post Primary Teacher Education - Religious Education and History,Dublin City University,409,,,,
323,DC012,Post Primary Teacher Education - Religious Education and Music,Dublin City University,409,,,,
324,DC013,Post Primary Teacher Ed - Gaeilge with French/German/Spanish,Dublin City University,413,,,,
325,DC014,BA in Jazz and Contemporary Music Performance (audition),Dublin City University,311,,,,
326,DC110,Business Studies International,Dublin City University,498,,,,
327,DC111,Business Studies,Dublin City University,511,,,,
328,DC112,Global Business (France),Dublin City University,542,,,,
329,DC113,Global Business (Germany),Dublin City University,484,,,,
330,DC114,Global Business (Spain),Dublin City University,544,,,,
331,DC115,Accounting and Finance,Dublin City University,544,,,,
