,Course Code,Course Title,HEI,R1 Points,R2 Points ,EOS Points
457,RC005,Pharmacy,RCSI University of Medicine & Health Sciences,613,613,602
458,RC101,Medicine - Graduate Entry (GAMSAT required),RCSI University of Medicine & Health Sciences,,,62
460,NM801,Montessori Education,St Nicholas Montessori College Ireland,262,,262
461,NM802,Psychology,St Nicholas Montessori College Ireland,228,,228
528,TU801,Sustainable Energy Engineering,Technological University Dublin,235,,235
529,TU802,Electrical Services and Energy Management,Technological University Dublin,309,,290
530,TU804,Engineering (Common Entry with Award options),Technological University Dublin,270,,270
531,TU805,Engineering (General Entry),Technological University Dublin,466,465,465
532,TU807,Computer Engineering in Mobile Systems,Technological University Dublin,274,,274
533,TU810,Mechatronic Engineering,Technological University Dublin,271,,271
534,TU811,Product Design,Technological University Dublin,440,434,434
535,TU812,"Design,Technology and Innovation",Technological University Dublin,278,,278
536,TU814,Sustainable Transport Management,Technological University Dublin,253,253,253
537,TU828,Mechanical Engineering (General Entry),Technological University Dublin,300,,300
538,TU829,Electronic Engineering (General Entry),Technological University Dublin,248,248,243
539,TU831,Architectural Technology,Technological University Dublin,423,,423
540,TU832,Architecture (Suitability Test and Interview),Technological University Dublin,644,638,638
541,TU833,Construction Management,Technological University Dublin,396,,396
542,TU834,Geographic Science,Technological University Dublin,315,,315
543,TU835,Planning and Environmental Management,Technological University Dublin,330,,330
544,TU836,Property Economics (Valuation Surveying),Technological University Dublin,411,,411
545,TU837,Quantity Surveying and Construction Economics,Technological University Dublin,413,,413
546,TU838,Sustainable Timber Technology,Technological University Dublin,307,271,271
547,TU851,"Analytical Chemistry (Environmental, Forensic and Pharmaceutical)",Technological University Dublin,400,,400
548,TU852,Chemical Sciences with Medicinal Chemistry,Technological University Dublin,477,,477
549,TU854,Science (General Entry),Technological University Dublin,510,,510
550,TU855,Science with Nanotechnology,Technological University Dublin,322,,322
551,TU856,Computer Science,Technological University Dublin,499,,499
552,TU857,Computer Science (Infrastructure),Technological University Dublin,403,,403
553,TU858,Computer Science (International),Technological University Dublin,395,,395
554,TU859,Computing,Technological University Dublin,251,,251
555,TU860,Computing (Information Technology),Technological University Dublin,270,,270
556,TU861,Computing with Language (French/German/Spanish),Technological University Dublin,235,235,235
557,TU862,Computing with Artificial Intelligence Machine Learning,Technological University Dublin,262,,262
558,TU863,Digital Forensics and Cyber Security,Technological University Dublin,282,,282
559,TU864,DNA and Forensic Analysis,Technological University Dublin,500,441,441
560,TU865,Cloud Computing,Technological University Dublin,235,,235
561,TU866,Biomedical and Molecular Diagnostics,Technological University Dublin,522,,522
562,TU867,Biomedical Science,Technological University Dublin,576,566,565
563,TU868,Clinical Measurement Science,Technological University Dublin,542,,542
564,TU869,Environmental Health,Technological University Dublin,387,,387
565,TU870,Human Nutrition and Dietetics,Technological University Dublin,601,,600
566,TU871,Optometry,Technological University Dublin,532,,532
567,TU872,Public Health Nutrition,Technological University Dublin,487,,487
568,TU874,Mathematical Sciences,Technological University Dublin,294,294,294
569,TU875,Pharmaceutical Healthcare,Technological University Dublin,451,,451
570,TU876,Pharmaceutical Science,Technological University Dublin,445,,445
571,TU877,Physics Technology,Technological University Dublin,314,314,314
572,TU878,Physics with Energy and Environment,Technological University Dublin,339,,339
573,TU879,Physics with Medical Physics and Bioengineering,Technological University Dublin,346,,346
574,TU880,Physics with Data Science,Technological University Dublin,412,,412
575,TU881,Food Innovation,Technological University Dublin,309,,309
576,TU882,Nutraceuticals in Health and Nutrition,Technological University Dublin,380,,380
577,TU902,Business (options),Technological University Dublin,270,,270
578,TU903,Business and Management,Technological University Dublin,477,,477
579,TU904,Business and Law,Technological University Dublin,462,,462
580,TU905,Economics and Finance,Technological University Dublin,460,,460
581,TU906,Human Resource Management,Technological University Dublin,386,377,377
582,TU907,Logistics and Supply Chain Management,Technological University Dublin,300,,300
583,TU910,Accounting,Technological University Dublin,420,,420
584,TU912,Business Analytics,Technological University Dublin,331,311,311
585,TU914,Business Computing,Technological University Dublin,322,,322
586,TU917,Law (LLB ) with a Language,Technological University Dublin,356,,356
587,TU918,Law (LLB),Technological University Dublin,463,,463
588,TU919,Advertising and Marketing Communications,Technological University Dublin,219,,219
589,TU920,Digital Marketing,Technological University Dublin,270,,270
590,TU921,Digital Marketing Technologies,Technological University Dublin,230,,230
591,TU922,Marketing,Technological University Dublin,412,,412
592,TU924,E-Commerce in Retailing,Technological University Dublin,307,,307
593,TU925,Retail and Services Management,Technological University Dublin,307,,307
594,TU932,Business (options),Technological University Dublin,211,,211
595,TU933,Accounting and Finance (campus options),Technological University Dublin,251,,251
596,TU935,Sports Management and Coaching,Technological University Dublin,300,,300
597,TU936,Sports Science and Health,Technological University Dublin,484,,484
598,TU941,Botanical Cuisine,Technological University Dublin,311,,311
599,TU942,Culinary Arts,Technological University Dublin,252,,252
600,TU943,Culinary Entrepreneurship,Technological University Dublin,261,,261
601,TU944,Culinary Science,Technological University Dublin,336,,336
602,TU951,International Hospitality and Tourism Management,Technological University Dublin,244,,244
603,TU952,International Hospitality Management,Technological University Dublin,309,,309
604,TU953,Tourism and Digital Marketing,Technological University Dublin,308,,308
605,TU954,Event Management,Technological University Dublin,326,,326
606,TU955,Sports and Leisure Management,Technological University Dublin,275,,275
607,TU961,Commercial Modern Music (BIMM - assessment/audition),Technological University Dublin,536,536,536
608,TU962,"Drama (Performance, audition)",Technological University Dublin,448,,448
